,C0.05,C0.11,C0.16,C0.22,C0.30,L0.05,L0.11,L0.16,L0.22,L0.30,N0.05,N0.11,N0.16,N0.22,N0.30,P0.05,P0.11,P0.16,P0.22,P0.30,U0.05,U0.11,U0.16,U0.22,U0.30
EX_glc__D_e,0.7349397650541439,1.5526344996725243,2.1769838127312164,5.146603947687444,9.598649788408228,6.404494662557949,7.4401665088116475,9.51991752568142,7.380913386641562,12.480193870928321,4.7357260413686255,11.307597494761893,17.297147690186414,47.465123823994816,71.17320364990928,5.107702059543088,6.45588926805465,9.189084675069317,13.031469572351673,20.62615753059419,9.000257617047488,10.994536231054282,7.376678763694898,13.913242472928484,79.43624307617168
EX_adp_c,0.9291622448892499,1.0159593780975953,0.9415215097698394,0.8988179943366921,0.8636857020470482,0.8126186684904221,0.8263657277822517,0.8589608230816993,0.8856881548802897,0.9064091824483788,0.8765398910815742,0.949296166625895,0.9270912961464358,0.9125743602276402,0.8161287057941593,0.9009380475924376,0.9184673410605928,0.9199074144129958,0.9189103533143348,0.9427771687113448,0.9084362007149498,0.9512491863830498,0.8569894570895481,0.9532441603989767,0.9123146321263572
EX_cys__L_c,0.0002488169636429819,0.0006031134220803122,0.0008517057703758807,0.0011721274775420047,0.0016528036131378927,0.00018705165770729795,0.00043933214431058986,0.0006835344460477912,0.0010269103380291657,0.0014722333568589962,0.00022614215986333056,0.000549437249811125,0.0007666158546822872,0.0011548669084973265,0.001207869330294599,0.0002464936409797976,0.0005331191086408717,0.0007820979723672289,0.0011998361930831293,0.0017607329319959703,0.00021600716591564813,0.0004734883398390083,0.0006564042988397563,0.0010907960710742903,0.0012980322845608904
EX_mal__L_c,0.0008685674482888186,0.0016834524454429171,0.002116914717103679,0.003680133286240887,0.00294756732421185,0.0009465774996115287,0.0015612580289778991,0.0013696146879941505,0.0017973465379017004,0.0027314620750211512,0.002660467908458491,0.00254539904973266,0.0053099178744504105,0.005763820861771632,0.007308181165511044,0.0010505698761175382,0.0021051559291138185,0.0028903748743816108,0.004751559950799856,0.006277808020906993,0.0006382332335314018,0.00111689029898805,0.0018237995016125586,0.0019072944207088407,0.002828269946239368
EX_trp__L_c,0.0010706669344637402,0.0025952153313758978,0.0036649157391931892,0.005043700054877725,0.00711206403229032,0.0008048889513465532,0.001890459530063745,0.002941269434508681,0.004418826303034587,0.0063350647476962865,0.0009730965666846343,0.00236424513555091,0.003298771253481359,0.0049694273032309215,0.0051974983303585826,0.0010606696066403417,0.002294027679606168,0.003365391275034733,0.005162931497509234,0.007576487161922068,0.000929485380606728,0.002037434674458764,0.0028245275889468213,0.00469372854825907,0.005585472254777191
EX_pyr_e,0.00044376660077224804,0.001035050359388922,0.0015424130677956422,0.0025032746547846256,0.005404426489843154,0.0032758691549306025,0.0064748423245812965,0.005934012004501564,0.007618201639245,0.009883936448154579,0.0014951882719679767,0.00420706023331594,0.005809453047969436,0.007456722519479457,0.00994010735278835,0.0010396461757432598,0.0021788599275806945,0.0032405681952476953,0.007029594672456842,0.009505481121129705,0.002104311393206791,0.003508700741580748,0.007031370268128782,0.0070754072795033325,0.008904532989772238
EX_met__L_c,0.0019113666752574511,0.0046330076514351426,0.00654264887243289,0.009004070168390853,0.012696536846377436,0.0014368968251151516,0.003374869654022252,0.005250787335548957,0.007888538505769479,0.011309428968598635,0.0017371829553137685,0.004220677055367295,0.005889003610968462,0.008871477615274938,0.009278632582717584,0.0018935193329811726,0.004095324061832141,0.006007934424093687,0.009216923483229474,0.013525630250332658,0.001659327774533841,0.0036372513378541992,0.005042378477450839,0.008379297091434342,0.009971248004126859
EX_his__L_c,0.0026860991760035546,0.006420612004369771,0.00918805749097143,0.012881420396625091,0.020986888010642468,0.005099675662989041,0.010881750379220793,0.015228621106050522,0.02051801618376945,0.02191064961201595,0.00232713820198518,0.005832653309494786,0.008334593872328232,0.014383440877253972,0.017608298362482594,0.003794805896876971,0.007904851798532321,0.010695125345259404,0.01616684542019627,0.02126429607126797,0.0028702312377137987,0.005974929318201943,0.009246762832907894,0.014488464053626297,0.01860578349443543
EX_asn__L_c,0.003834043212498677,0.009293429549328488,0.013124011643519269,0.01806141885848815,0.025468201129715724,0.0028822959983079107,0.006769708950967697,0.010532644418645522,0.015823754754176654,0.02268577763523633,0.003484645099712232,0.00846632853118055,0.011812853397149796,0.01779544918093607,0.01861216831681225,0.003798242922370515,0.008214880810420664,0.012051418756022288,0.01848838497523545,0.027131293815756057,0.003328474056609306,0.007296024872973819,0.010114593513939849,0.016808175822462947,0.02000149747573372
EX_glyc_e,0.006302932315013774,0.01434834920163888,0.01435354302748463,0.014519013329133175,0.0196929342535369,0.0013748136855753234,0.006265491141712194,0.01360412941813132,0.019365949521483003,0.032234411974125486,0.007378884732400648,0.013000295463495098,0.016710363572750662,0.015852887566233258,0.02029440210946621,0.004227735177181346,0.005717057007195885,0.013086511313462798,0.01864799398188871,0.0223204379568462,0.0035167194152776987,0.004721537768511951,0.0046605303483402225,0.017956011030111046,0.014382349624142953
