PGM,ENO,PK,2PG,PEP,BPG,ADP,Flux
31,5.6,46,170,50,13.2,107,157
25,12,30,60,103,13.2,61,87
25,12,30,57,91,13.2,83,114
25,12,30,55,83,13.2,107,128
25,12,30,54,76,13.2,130,136
25,12,30,40,60,8.5,107,111
25,12,30,46,70,10.8,107,118
25,12,30,55,81,13.2,107,122
25,12,30,59,89,15.6,107,130
25,12,30,63,95,18,107,133
36.8,6.5,34,161,81,13.2,107,108
45,6.5,34,178,82,13.2,107,108
53.2,6.5,34,204,81,13.2,107,108
45,5.3,34,206,75,13.2,107,106
45,6.5,34,195,87,13.2,107,108
45,7.7,34,180,92,13.2,107,112
45,6.5,30.9,192,91,13.2,107,96
45,6.5,34,192,84,13.2,107,106
45,6.5,37.1,196,79,13.2,107,116
